Raw venue string,Canonical name,CORE/SJR rank,Source of decision,Note
Remote Sensing,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'remote sensing': [SJR:norm_title] Journal of Remote Sensing (United States) | [SJR:norm_title] Remote Sensing | [SJR:norm_title] International Journal of Remote Sensing / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Rheumatology International,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'rheumatology': [SJR:norm_title] Rheumatology | [SJR:norm_title] Journal of Rheumatology | [SJR:norm_title] Rheumatology International | [SJR:norm_title] International Journal of Rheumatology | [SJR:norm_title] Rheumatology (Bulgaria) / ranks: SJR Q1 | SJR Q2 | SJR Q2 | SJR Q3 | SJR Q4 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Social Psychology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'social psychology': [SJR:norm_title] Journal of Social Psychology | [SJR:norm_title] Social Psychology | [SJR:norm_title] International Journal of Social Psychology / ranks: SJR Q2 | SJR Q1 | SJR Q3 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Sound and Vibration,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'sound vibration': [SJR:norm_title] Journal of Sound and Vibration | [SJR:norm_title] Sound and Vibration / ranks: SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Surgery (United States),(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'surgery': [SJR:norm_title] Surgery (United States) | [SJR:norm_title] Surgery (United Kingdom) | [SJR:norm_title] International Surgery | [SJR:norm_title] International Journal of Surgery (discontinued) / ranks: SJR Q1 | SJR Q3 | SJR Q4 | SJR - / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Technology in Society,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'technology society': [CORE:norm_title] International Symposium on Technology and Society | [SJR:norm_title] Technology in Society / ranks: CORE C | SJR Q1 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
academic medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'academic medicine': [SJR:norm_title] Academic Medicine | [SJR:norm_title] International Journal of Academic Medicine / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
accounting education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'accounting education': [SJR:norm_title] Accounting Education | [SJR:norm_title] Journal of Accounting Education / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
accounting research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'accounting research': [SJR:norm_title] Journal of Accounting Research | [SJR:norm_title] Journal of International Accounting Research / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
accounting review,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'accounting review': [SJR:norm_title] Accounting Review | [SJR:norm_title] Journal of Accounting Review / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
acm computer communications security,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'acm computer communications security': [CORE:norm_title] ACM Conference on Computer and Communications Security | [SJR:norm_title] Proceedings of the ACM Conference on Computer and Communications Security / ranks: CORE A* | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
acm economics computation,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'acm economics computation': [CORE:norm_title] ACM Conference on Economics and Computation | [SJR:norm_title] ACM Transactions on Economics and Computation / ranks: CORE A* | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
acm principles distributed computing,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'acm principles distributed computing': [CORE:norm_title] ACM Symposium on Principles of Distributed Computing | [SJR:norm_title] Proceedings of the Annual ACM Symposium on Principles of Distributed Computing / ranks: CORE A* | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
acm siam discrete algorithms,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'acm siam discrete algorithms': [CORE:norm_title] ACM/SIAM Symposium on Discrete Algorithms | [SJR:norm_title] Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms / ranks: CORE A* | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
acm sigplan programming language design implementation,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'acm sigplan programming language design implementation': [CORE:norm_title] ACM-SIGPLAN Conference on Programming Language Design and Implementation | [SJR:norm_title] Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI) / ranks: CORE A* | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
advances neural information processing systems,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'advances neural information processing systems': [CORE:norm_title] Advances in Neural Information Processing Systems (was NIPS) | [SJR:norm_title] Advances in Neural Information Processing Systems / ranks: CORE A* | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
africa,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'africa': [SJR:norm_title] Africa | [SJR:norm_title] Africa (Italy) / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
agricultural economics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'agricultural economics': [SJR:norm_title] Journal of Agricultural Economics | [SJR:norm_title] Agricultural Economics (United Kingdom) | [SJR:norm_title] Agricultural Economics (Czech Republic) / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
agriculture,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'agriculture': [SJR:norm_title] Agriculture (Switzerland) | [SJR:norm_title] Agriculture (Pol'nohospodarstvo) / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
agronomy,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'agronomy': [SJR:norm_title] Agronomy | [SJR:norm_title] International Journal of Agronomy / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
algorithm engineering experiments,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'algorithm engineering experiments': [CORE:norm_title] Workshop on Algorithm Engineering and Experiments | [SJR:norm_title] Proceedings of the Workshop on Algorithm Engineering and Experiments / ranks: CORE A | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
american history,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'american history': [SJR:norm_title] Journal of American History | [SJR:norm_title] American History / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
analysis,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'analysis': [SJR:norm_title] Analysis | [SJR:norm_title] Journal of Analysis | [SJR:norm_title] Analysis (Germany) / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
analysis applications,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'analysis applications': [SJR:norm_title] Analysis and Applications | [SJR:norm_title] International Journal of Analysis and Applications | [SJR:norm_title] Journal of Analysis and Applications / ranks: SJR Q1 | SJR Q3 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
analytical chemistry,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'analytical chemistry': [SJR:norm_title] Analytical Chemistry | [SJR:norm_title] International Journal of Analytical Chemistry | [SJR:norm_title] Journal of Analytical Chemistry / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
anthropologie,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'anthropologie': [SJR:norm_title] Anthropologie (France) | [SJR:norm_title] Anthropologie (Czech Republic) / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
antibiotics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'antibiotics': [SJR:norm_title] Antibiotics | [SJR:norm_title] Journal of Antibiotics / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
applied biological chemistry,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'applied biological chemistry': [SJR:norm_title] Applied Biological Chemistry | [SJR:norm_title] Journal of Applied Biological Chemistry / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
applied computational mathematics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'applied computational mathematics': [SJR:norm_title] Applied and Computational Mathematics | [SJR:norm_title] International Journal of Applied and Computational Mathematics / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
applied econometrics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'applied econometrics': [SJR:norm_title] Journal of Applied Econometrics | [SJR:norm_title] Applied Econometrics / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
applied economics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'applied economics': [SJR:norm_title] Applied Economics | [SJR:norm_title] Journal of Applied Economics / ranks: SJR Q2 | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
applied mathematics mechanics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'applied mathematics mechanics': [SJR:norm_title] Applied Mathematics and Mechanics (English Edition) | [SJR:norm_title] Applied Mathematics and Mechanics / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
applied philosophy,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'applied philosophy': [SJR:norm_title] Journal of Applied Philosophy | [SJR:norm_title] International Journal of Applied Philosophy / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
arbitration,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'arbitration': [SJR:norm_title] Arbitration International | [SJR:norm_title] Journal of International Arbitration | [SJR:norm_title] Arbitration / ranks: SJR Q1 | SJR Q2 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
artificial intelligence,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'artificial intelligence': [CORE:norm_title] International Conference on Artificial Intelligence | [SJR:norm_title] Artificial Intelligence | [SJR:norm_title] International Journal of Artificial Intelligence / ranks: CORE National: USA | SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
artificial intelligence law,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'artificial intelligence law': [CORE:norm_title] International Conference on Artificial Intelligence and Law | [SJR:norm_title] Artificial Intelligence and Law / ranks: CORE C | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
artificial intelligence medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'artificial intelligence medicine': [CORE:norm_title] International Conference on Artificial Intelligence in Medicine | [SJR:norm_title] Artificial Intelligence in Medicine / ranks: CORE B | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
asian studies,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'asian studies': [SJR:norm_title] Asian Studies | [SJR:norm_title] Journal of Asian Studies | [SJR:norm_title] International Journal of Asian Studies / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
asian studies review,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'asian studies review': [SJR:norm_title] Asian Studies Review | [SJR:norm_title] Asian International Studies Review / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
association for information science technology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'association for information science technology': [SJR:norm_title] Journal of the Association for Information Science and Technology | [SJR:norm_title] Proceedings of the Association for Information Science and Technology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
astrobiology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'astrobiology': [SJR:norm_title] Astrobiology | [SJR:norm_title] International Journal of Astrobiology / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
autoimmunity,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'autoimmunity': [SJR:norm_title] Journal of Autoimmunity | [SJR:norm_title] Autoimmunity / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
banking finance,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'banking finance': [SJR:norm_title] Journal of Banking and Finance | [SJR:norm_title] International Journal of Banking and Finance / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
big data,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'big data': [SJR:norm_title] Journal of Big Data | [SJR:norm_title] Big Data / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
biological control,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'biological control': [SJR:norm_title] Biological Control | [SJR:norm_title] Journal of Biological Control / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
biological research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'biological research': [SJR:norm_title] Biological Research | [SJR:norm_title] Journal of Biological Research (Greece) | [SJR:norm_title] Journal of Biological Research (Italy) / ranks: SJR Q1 | SJR Q4 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
biomaterials,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'biomaterials': [SJR:norm_title] Biomaterials | [SJR:norm_title] International Journal of Biomaterials / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
biometrics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'biometrics': [SJR:norm_title] Biometrics | [SJR:norm_title] International Journal of Biometrics / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
biostatistics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'biostatistics': [SJR:norm_title] Biostatistics | [SJR:norm_title] International Journal of Biostatistics / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
biosystems engineering,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'biosystems engineering': [SJR:norm_title] Biosystems Engineering | [SJR:norm_title] Journal of Biosystems Engineering / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
breast cancer,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'breast cancer': [SJR:norm_title] Breast Cancer | [SJR:norm_title] Journal of Breast Cancer | [SJR:norm_title] International Journal of Breast Cancer / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
business society,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'business society': [SJR:norm_title] Business and Society | [SJR:norm_title] International Journal of Business and Society / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
cancer,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'cancer': [SJR:norm_title] Cancer | [SJR:norm_title] International Journal of Cancer | [SJR:norm_title] Journal of Cancer / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
cardiology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'cardiology': [SJR:norm_title] International Journal of Cardiology | [SJR:norm_title] Journal of Cardiology | [SJR:norm_title] Cardiology (Switzerland) / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
cell biology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'cell biology': [SJR:norm_title] Journal of Cell Biology | [SJR:norm_title] Cell Biology International | [SJR:norm_title] International Journal of Cell Biology / ranks: SJR Q1 | SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
central south university,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'central south university': [SJR:norm_title] Journal of Central South University | [SJR:norm_title] Journal of Central South University (Medical Sciences) / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
ceramics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ceramics': [SJR:norm_title] Ceramics International | [SJR:norm_title] Ceramics | [SJR:norm_title] Journal of Ceramics / ranks: SJR Q1 | SJR Q2 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
chinese medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'chinese medicine': [SJR:norm_title] Chinese Medicine (United Kingdom) | [SJR:norm_title] Journal of Chinese Medicine / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
climate,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'climate': [SJR:norm_title] Journal of Climate | [SJR:norm_title] Climate / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
clinical ethics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'clinical ethics': [SJR:norm_title] Journal of Clinical Ethics | [SJR:norm_title] Clinical Ethics / ranks: SJR Q3 | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
clinical hematology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'clinical hematology': [SJR:norm_title] Clinical Hematology International | [SJR:norm_title] Journal of Clinical Hematology / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
clinical hypertension,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'clinical hypertension': [SJR:norm_title] Clinical Hypertension | [SJR:norm_title] Journal of Clinical Hypertension / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
clinical immunology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'clinical immunology': [SJR:norm_title] Journal of Clinical Immunology | [SJR:norm_title] Clinical Immunology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
clinical pharmacology therapeutics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'clinical pharmacology therapeutics': [SJR:norm_title] Clinical Pharmacology and Therapeutics | [SJR:norm_title] International Journal of Clinical Pharmacology and Therapeutics / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
cloud computing,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'cloud computing': [SJR:norm_title] Journal of Cloud Computing | [SJR:norm_title] International Journal of Cloud Computing / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
cognitive science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'cognitive science': [SJR:norm_title] Cognitive Science | [SJR:norm_title] Journal of Cognitive Science / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
communication,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'communication': [SJR:norm_title] Journal of Communication | [SJR:norm_title] International Journal of Communication | [SJR:norm_title] Journal of International Communication / ranks: SJR Q1 | SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
communication management,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'communication management': [SJR:norm_title] Journal of Communication Management | [SJR:norm_title] Communication and Management / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
communications,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'communications': [SJR:norm_title] Communications | [SJR:norm_title] Journal of Communications / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
comparative politics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'comparative politics': [SJR:norm_title] Comparative Politics | [SJR:norm_title] Journal of Comparative Politics / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
comparative sociology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'comparative sociology': [SJR:norm_title] International Journal of Comparative Sociology | [SJR:norm_title] Comparative Sociology / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
complexity,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'complexity': [SJR:norm_title] Journal of Complexity | [SJR:norm_title] Complexity / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
computational applied mathematics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'computational applied mathematics': [SJR:norm_title] Journal of Computational and Applied Mathematics | [SJR:norm_title] Computational and Applied Mathematics / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
computational geometry,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'computational geometry': [CORE:norm_title] International Symposium on Computational Geometry | [SJR:norm_title] Journal of Computational Geometry / ranks: CORE A* | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
computational linguistics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'computational linguistics': [CORE:norm_title] International Conference on Computational Linguistics | [SJR:norm_title] Computational Linguistics / ranks: CORE B | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
computational science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'computational science': [CORE:norm_title] International Conference on Computational Science | [SJR:norm_title] Journal of Computational Science / ranks: CORE Multiconference | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
consumer marketing,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'consumer marketing': [SJR:norm_title] Journal of Consumer Marketing | [SJR:norm_title] Journal of International Consumer Marketing / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
contemporary physics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'contemporary physics': [SJR:norm_title] Contemporary Physics | [SJR:norm_title] Journal of Contemporary Physics / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
criminal justice review,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'criminal justice review': [SJR:norm_title] Criminal Justice Review | [SJR:norm_title] International Criminal Justice Review / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
critical care medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'critical care medicine': [SJR:norm_title] Critical Care Medicine | [SJR:norm_title] Journal of Critical Care Medicine / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
critique,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'critique': [SJR:norm_title] Critique | [SJR:norm_title] Critique (France) / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
crop protection,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'crop protection': [SJR:norm_title] Crop Protection | [SJR:norm_title] Journal of Crop Protection / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
